Time,Pulses,wm,PWM,Vbus
65.001888,0.0,0.0,220.0,5.000004768371582
65.051892,0.0,0.0,220.0,5.000004768371582
65.10189199999999,0.0,0.0,220.0,5.000004768371582
65.15189199999999,0.0,0.0,220.0,5.000004768371582
65.201892,0.0,0.0,220.0,5.000004768371582
65.25189599999999,0.0,0.0,220.0,5.000004768371582
65.301896,0.0,0.0,220.0,5.000004768371582
65.3519,0.0,0.0,220.0,5.000004768371582
65.4019,0.0,0.0,220.0,5.000004768371582
65.4519,0.0,0.0,220.0,5.000004768371582
65.50189999999999,0.0,0.0,220.0,5.000004768371582
65.551904,0.0,0.0,220.0,5.000004768371582
65.60190399999999,0.0,0.0,220.0,5.000004768371582
65.65190799999999,0.0,0.0,220.0,5.000004768371582
65.70190799999999,0.0,0.0,220.0,5.000004768371582
65.751908,0.0,0.0,220.0,5.000004768371582
65.801908,0.0,0.0,220.0,5.000004768371582
65.851912,0.0,0.0,220.0,5.000004768371582
65.901912,0.0,0.0,220.0,5.000004768371582
65.951916,0.0,0.0,220.0,5.000004768371582
66.00192,10.0,104.71128845214844,220.0,5.000004768371582
66.05192,23.0,240.85523986816406,220.0,5.000004768371582
66.101928,28.0,293.1681823730469,220.0,5.000004768371582
66.151928,30.0,314.15899658203125,220.0,5.000004768371582
66.201932,30.0,314.1338806152344,220.0,5.000004768371582
66.251936,32.0,335.0761413574219,220.0,5.000004768371582
66.30193999999999,30.0,314.1338806152344,220.0,5.000004768371582
66.35194,31.0,324.6309814453125,220.0,5.000004768371582
66.40194,31.0,324.6309814453125,220.0,5.000004768371582
66.451944,30.0,314.1338806152344,220.0,5.000004768371582
66.501948,32.0,335.0761413574219,220.0,5.000004768371582
66.551948,31.0,324.6309814453125,220.0,5.000004768371582
66.601948,31.0,324.6309814453125,220.0,5.000004768371582
66.651952,31.0,324.6050109863281,220.0,5.000004768371582
66.701956,32.0,335.0761413574219,220.0,5.000004768371582
66.75196,30.0,314.1338806152344,220.0,5.000004768371582
66.801964,31.0,324.6050109863281,220.0,5.000004768371582
66.851964,31.0,324.6309814453125,220.0,5.000004768371582
66.90196399999999,31.0,324.6309814453125,220.0,5.000004768371582
66.951968,32.0,335.0761413574219,220.0,5.000004768371582
67.001972,32.0,335.0761413574219,220.0,5.000004768371582
67.05197199999999,30.0,314.15899658203125,220.0,5.000004768371582
67.10197199999999,31.0,324.6309814453125,220.0,5.000004768371582
67.15197599999999,32.0,335.0761413574219,220.0,5.000004768371582
67.20197999999999,31.0,324.6050109863281,220.0,5.000004768371582
67.25197999999999,30.0,314.15899658203125,220.0,5.000004768371582
67.30198,31.0,324.6309814453125,220.0,5.000004768371582
67.35198,32.0,335.1029357910156,220.0,5.000004768371582
67.40198,31.0,324.6309814453125,220.0,5.000004768371582
67.45197999999999,30.0,314.15899658203125,220.0,5.000004768371582
67.501984,31.0,324.6050109863281,220.0,5.000004768371582
67.55198399999999,32.0,335.1029357910156,220.0,5.000004768371582
67.60198799999999,31.0,324.6050109863281,220.0,5.000004768371582
67.65198799999999,31.0,324.6309814453125,220.0,5.000004768371582
67.70199199999999,32.0,335.0761413574219,220.0,5.000004768371582
67.75199199999999,32.0,335.1029357910156,220.0,5.000004768371582
67.80199599999999,31.0,324.6050109863281,220.0,5.000004768371582
67.851996,30.0,314.15899658203125,220.0,5.000004768371582
67.901996,32.0,335.1029357910156,220.0,5.000004768371582
67.951996,31.0,324.6309814453125,220.0,5.000004768371582
68.00199599999999,31.0,324.6309814453125,220.0,5.000004768371582
68.05199599999999,31.0,324.6309814453125,220.0,5.000004768371582
68.10199999999999,32.0,335.0761413574219,220.0,5.000004768371582
68.15199999999999,32.0,335.1029357910156,220.0,5.000004768371582
68.20200399999999,31.0,324.6050109863281,220.0,5.000004768371582
68.252004,31.0,324.6309814453125,220.0,5.000004768371582
68.302008,32.0,335.0761413574219,220.0,5.000004768371582
68.35201199999999,31.0,324.6050109863281,220.0,5.000004768371582
68.402012,31.0,324.6309814453125,220.0,5.000004768371582
68.452012,31.0,324.6309814453125,220.0,5.000004768371582
68.502012,32.0,335.1029357910156,220.0,5.000004768371582
68.55201199999999,32.0,335.1029357910156,220.0,5.000004768371582
68.60201599999999,31.0,324.6050109863281,220.0,5.000004768371582
68.65202,30.0,314.1338806152344,220.0,5.000004768371582
68.702024,31.0,324.6050109863281,220.0,5.000004768371582
68.752028,32.0,335.0761413574219,220.0,5.000004768371582
68.80202799999999,31.0,324.6309814453125,220.0,5.000004768371582
68.85202799999999,31.0,324.6309814453125,220.0,5.000004768371582
68.90202799999999,31.0,324.6309814453125,220.0,5.000004768371582
68.95203199999999,32.0,335.0761413574219,220.0,5.000004768371582
69.002032,32.0,335.1029357910156,220.0,5.000004768371582
69.05203599999999,31.0,324.6050109863281,220.0,5.000004768371582
69.102036,31.0,324.6309814453125,220.0,5.000004768371582
69.15204,32.0,335.0761413574219,220.0,5.000004768371582
69.20204,32.0,335.1029357910156,220.0,5.000004768371582
69.252044,31.0,324.6050109863281,220.0,5.000004768371582
69.302044,31.0,324.6309814453125,220.0,5.000004768371582
69.35204399999999,31.0,324.6309814453125,220.0,5.000004768371582
69.40204399999999,32.0,335.1029357910156,220.0,5.000004768371582
69.452044,31.0,324.6309814453125,220.0,5.000004768371582
69.502044,30.0,314.15899658203125,220.0,5.000004768371582
69.552044,31.0,324.6309814453125,220.0,5.000004768371582
69.602048,32.0,335.0761413574219,220.0,5.000004768371582
69.652052,31.0,324.6050109863281,220.0,5.000004768371582
69.702052,31.0,324.6309814453125,220.0,5.000004768371582
69.75205199999999,31.0,324.6309814453125,220.0,5.000004768371582
69.802056,31.0,324.6050109863281,220.0,5.000004768371582
69.85205599999999,32.0,335.1029357910156,220.0,5.000004768371582
69.90205599999999,31.0,324.6309814453125,220.0,5.000004768371582
69.95205999999999,30.0,314.1338806152344,220.0,5.000004768371582
70.00206,31.0,324.6309814453125,220.0,5.000004768371582
70.05206,31.0,324.6309814453125,220.0,5.000004768371582
70.10206,30.0,314.15899658203125,220.0,5.000004768371582
70.15205999999999,31.0,324.6309814453125,220.0,5.000004768371582
70.202064,32.0,335.0761413574219,220.0,5.000004768371582
70.252068,31.0,324.6050109863281,220.0,5.000004768371582
70.302076,31.0,324.57904052734375,220.0,5.000004768371582
70.352076,31.0,324.6309814453125,220.0,5.000004768371582
70.40208,32.0,335.0761413574219,220.0,5.000004768371582
70.452084,31.0,324.6050109863281,220.0,5.000004768371582
70.502084,31.0,324.6309814453125,220.0,5.000004768371582
70.552084,31.0,324.6309814453125,220.0,5.000004768371582
70.60208399999999,31.0,324.6309814453125,240.0,5.000004768371582
70.65208799999999,33.0,345.5472717285156,240.0,5.000004768371582
70.70208799999999,33.0,345.5749206542969,240.0,5.000004768371582
70.752088,34.0,356.046875,240.0,5.000004768371582
70.80209199999999,35.0,366.4895324707031,240.0,5.000004768371582
70.85209599999999,34.0,356.0184020996094,240.0,5.000004768371582
70.902096,34.0,356.046875,240.0,5.000004768371582
70.95209999999999,34.0,356.0184020996094,240.0,5.000004768371582
71.0021,35.0,366.5188293457031,240.0,5.000004768371582
71.0521,34.0,356.046875,240.0,5.000004768371582
71.1021,35.0,366.5188293457031,240.0,5.000004768371582
71.15209999999999,35.0,366.5188293457031,240.0,5.000004768371582
71.20210399999999,34.0,356.0184020996094,240.0,5.000004768371582
71.25210799999999,34.0,356.0184020996094,240.0,5.000004768371582
71.302112,34.0,356.0184020996094,240.0,5.000004768371582
71.352116,35.0,366.4895324707031,240.0,5.000004768371582
71.40212,34.0,356.0184020996094,240.0,5.000004768371582
71.45212,35.0,366.5188293457031,240.0,5.000004768371582
71.50211999999999,35.0,366.5188293457031,240.0,5.000004768371582
71.55212399999999,34.0,356.0184020996094,240.0,5.000004768371582
71.60212399999999,35.0,366.5188293457031,240.0,5.000004768371582
71.652124,34.0,356.046875,240.0,5.000004768371582
71.702124,36.0,376.9908142089844,240.0,5.000004768371582
71.752128,34.0,356.0184020996094,240.0,5.000004768371582
71.802128,35.0,366.5188293457031,240.0,5.000004768371582
71.852132,35.0,366.4895324707031,240.0,5.000004768371582
