Time,Pulses,wm,PWM,Vbus
0.0,228837770133504.0,1.4250196491233456e+22,30058.0,7.008431033599816e+22
-1644.2313909999998,7.1518071809768205e+22,1.8498737779563823e+20,8236.0,1.1818727822214075e+22
-1325.726509,4.504740794757353e+30,7.1833229208091965e+22,20512.0,7.392629937143556e+20
-1128.22242,1.0022675134280234e-08,3.172546853945718e+30,29541.0,7.206474510568703e+31
-51.31286799999998,9264555008.0,1.9283839294501626e+31,31264.0,3.526077867188615e-12
78.37793899999997,6.73311157685985e+22,2.645341765389066e+20,25971.0,225772032.0
-1325.075757,6.445504685537173e-10,2.5749498019922434e-12,29216.0,7.096853807963683e+22
116.72091799999998,7.685952415535135e-31,7.1518071809768205e+22,29555.0,1.894301913536757e+23
44.82742600000006,7.271584837361508e+31,4.157588067999621e+21,8299.0,2.3346418132064173e-09
-1701.2651759999999,7.56488967846046e+28,228837770133504.0,14925.0,1.4584889919565612e-19
-341.048041,0.0008447685395367444,6.410392217048866e-10,12336.0,1.356714757339568e-19
-472.3901410000001,1.5782364395676538e-19,6.409406339002999e-10,8236.0,3561408692224.0
-1079.25427,7.774155126958751e+31,2.0706460722279607e-19,26707.0,2.0701478251558682e-19
-572.79205,5.829060012452203e-10,1.4923721193043231e-19,8239.0,6.409406339002999e-10
-2.581824000000097,2.0535074069237448e-19,0.0007833139970898628,12320.0,7.229591106521046e+31
67.16923500000007,5.968957452751056e-07,6.409690556097303e-10,11312.0,14302274650112.0
-472.8494089999999,4.004638981536246e-11,1.4584910599080925e-19,19744.0,222618173440.0
-542.3923649999999,3.048128113421378e+32,3.988071929507049e+24,26209.0,235285577728.0
-890.708477,6.336922098171272e-10,1.4833726527336876e-19,11824.0,6.797966115409846e-33
0.0,228837770133504.0,5.829051130668006e-10,8236.0,4.516396911925658e+16
-890.698712,6.410392217048866e-10,2.560628792336317e-12,8224.0,877604634624.0
-1329.208328,6.409406339002999e-10,167903936.0,21583.0,1.4581157115056698e-10
83.94337900000005,2.0706460722279607e-19,2.6611422520241028e+23,8308.0,218441136.0
-1062.483184,1.4923721193043231e-19,4.004635165144599e-11,12336.0,6.345657766233616e+28
-1325.531097,0.0007833139970898628,1.4584889919565612e-19,29796.0,1.9439101637514733e+31
-978.597104,6.409690556097303e-10,1.356714757339568e-19,21840.0,847506046976.0
-1094.995731,1.4584910599080925e-19,3561408692224.0,21071.0,2687442944.0
100.40247199999999,3.988071929507049e+24,2.0701478251558682e-19,21083.0,0.0008442001417279243
-1061.5683009999998,1.4833726527336876e-19,6.409406339002999e-10,2573.0,7.56488967846046e+28
-405.03266699999995,5.829051130668006e-10,7.229591106521046e+31,23328.0,0.0008447685395367444
-1061.435949,2.503785373475509e-12,14302274650112.0,21324.0,1.5782364395676538e-19
-1061.437725,167903936.0,222618173440.0,12064.0,7.774155126958751e+31
-1325.398493,2.6611422520241028e+23,235285577728.0,19792.0,5.829060012452203e-10
-1329.872671,4.004635165144599e-11,6.797966115409846e-33,28493.0,2.0535074069237448e-19
-891.7544929999999,1.4584889919565612e-19,4.516396911925658e+16,29557.0,5.968957452751056e-07
-1061.437213,1.356714757339568e-19,877604634624.0,21317.0,4.004638981536246e-11
-1330.134813,3561408692224.0,1.4581157115056698e-10,20256.0,3.048128113421378e+32
-119.6233850000001,2.0701478251558682e-19,218441136.0,14941.0,6.336922098171272e-10
-1329.942301,6.409406339002999e-10,6.345657766233616e+28,28532.0,228837770133504.0
-1062.4832,7.229591106521046e+31,1.9439101637514733e+31,14941.0,6.410392217048866e-10
-1128.283933,14302274650112.0,847506046976.0,8250.0,6.409406339002999e-10
-575.950625,222618173440.0,2687442944.0,29813.0,2.0706460722279607e-19
-152.24191399999995,235285577728.0,0.0008442001417279243,12320.0,1.4923721193043231e-19
-1094.995742,6.797966115409846e-33,7.56488967846046e+28,8306.0,0.0007833139970898628
-1330.134829,4.516396911925658e+16,0.0008447685395367444,13600.0,6.409690556097303e-10
-1330.922269,877604634624.0,1.5782364395676538e-19,11824.0,1.4584910599080925e-19
-455.4184129999999,1.4581157115056698e-10,7.774155126958751e+31,30064.0,3.988071929507049e+24
-1325.402348,218441136.0,5.829060012452203e-10,12334.0,1.4833726527336876e-19
-1061.437725,6.345657766233616e+28,2.0535074069237448e-19,22352.0,5.829051130668006e-10
82.81724699999995,1.9439101637514733e+31,5.968957452751056e-07,12336.0,2.560628792336317e-12
-438.5871809999999,847506046976.0,4.004638981536246e-11,12336.0,167903936.0
-488.971006,2687442944.0,3.048128113421378e+32,8308.0,2.6611422520241028e+23
-488.1978489999999,0.0008442001417279243,6.336922098171272e-10,8240.0,4.004635165144599e-11
-1701.265181,7.56488967846046e+28,228837770133504.0,14925.0,1.4584889919565612e-19
-341.048041,0.0008447685395367444,6.410392217048866e-10,12336.0,1.356714757339568e-19
-472.3901410000001,1.5782364395676538e-19,6.409406339002999e-10,8236.0,3561408692224.0
-1079.25427,7.774155126958751e+31,2.0706460722279607e-19,26707.0,2.0701478251558682e-19
-572.79205,5.829060012452203e-10,1.4923721193043231e-19,8239.0,6.409406339002999e-10
-2.581824000000097,2.0535074069237448e-19,0.0007833139970898628,12320.0,7.229591106521046e+31
67.16923500000007,5.968957452751056e-07,6.409690556097303e-10,11316.0,14302274650112.0
-472.8494089999999,4.004638981536246e-11,1.4584910599080925e-19,19744.0,222618173440.0
-542.3923649999999,3.048128113421378e+32,3.988071929507049e+24,26209.0,235285577728.0
-890.708477,6.336922098171272e-10,1.4833726527336876e-19,11824.0,6.797966115409846e-33
