Time,accX,accY,accZ,wx,wy,wz
0.79,-327.0,206.0,8266.0,1.0,19.0,-20.0
0.7999999999999998,-335.0,167.0,8273.0,7.0,31.0,-26.0
0.8100079999999998,-325.0,205.0,8258.0,2.0,39.0,-19.0
0.820004,-338.0,177.0,8313.0,1.0,37.0,-22.0
0.8300000000000001,-343.0,207.0,8316.0,3.0,37.0,-18.0
0.840004,-358.0,195.0,8352.0,0.0,36.0,-20.0
0.850012,-357.0,196.0,8351.0,2.0,26.0,-24.0
0.8600080000000001,-369.0,204.0,8366.0,6.0,15.0,-18.0
0.8700000000000001,-353.0,209.0,8319.0,1.0,13.0,-25.0
0.8799999999999999,-345.0,206.0,8287.0,5.0,13.0,-23.0
0.8900079999999999,-349.0,210.0,8271.0,8.0,18.0,-21.0
0.900004,-347.0,178.0,8260.0,3.0,32.0,-28.0
0.9100079999999999,-344.0,164.0,8252.0,2.0,37.0,-24.0
0.9199999999999999,-339.0,176.0,8298.0,2.0,41.0,-22.0
0.9299999999999997,-352.0,193.0,8314.0,5.0,42.0,-23.0
0.9400079999999997,-357.0,193.0,8357.0,2.0,40.0,-24.0
0.950008,-342.0,191.0,8370.0,1.0,28.0,-21.0
0.96,-338.0,200.0,8362.0,5.0,20.0,-21.0
0.9700039999999999,-333.0,197.0,8329.0,1.0,13.0,-25.0
0.9800079999999998,-330.0,191.0,8298.0,4.0,16.0,-19.0
0.990008,-325.0,171.0,8278.0,3.0,11.0,-17.0
1.0000040000000001,-357.0,437.0,8406.0,17.0,8.0,-16.0
1.0099999999999998,-325.0,27.0,8320.0,-1.0,-11.0,-26.0
1.0200079999999998,-351.0,202.0,8277.0,-1.0,11.0,-18.0
1.030008,-355.0,287.0,8190.0,-1.0,6.0,-20.0
1.04,-337.0,46.0,8181.0,-3.0,26.0,-27.0
1.0499999999999998,-323.0,243.0,8194.0,-2.0,52.0,-21.0
1.0600079999999998,-323.0,180.0,8271.0,-6.0,64.0,-23.0
1.070008,-343.0,260.0,8312.0,-8.0,78.0,-29.0
1.0800079999999999,-381.0,449.0,8407.0,-78.0,-80.0,-39.0
1.0899999999999999,-359.0,85.0,8330.0,16.0,39.0,-27.0
1.1000039999999998,-347.0,0.0,8372.0,-20.0,55.0,-25.0
1.110004,-348.0,486.0,8400.0,19.0,34.0,-21.0
1.120008,-335.0,-30.0,8403.0,20.0,14.0,-26.0
1.1299959999999998,-329.0,242.0,8351.0,-9.0,9.0,-15.0
1.1399999999999997,-339.0,421.0,8295.0,11.0,-9.0,-26.0
1.150016,-338.0,50.0,8253.0,9.0,-2.0,-23.0
1.160008,-331.0,205.0,8214.0,-7.0,18.0,-19.0
1.17,-356.0,308.0,8205.0,5.0,29.0,-27.0
1.179996,-364.0,45.0,8246.0,6.0,49.0,-23.0
1.1900079999999997,-369.0,187.0,8304.0,-3.0,53.0,-18.0
1.200008,-382.0,273.0,8367.0,11.0,47.0,-25.0
1.21,-387.0,59.0,8424.0,1.0,33.0,-27.0
1.2199999999999998,-374.0,271.0,8416.0,-6.0,19.0,-24.0
1.230004,-377.0,187.0,8381.0,4.0,7.0,-25.0
1.240008,-367.0,136.0,8339.0,1.0,-3.0,-20.0
1.2500079999999998,-351.0,248.0,8290.0,-3.0,-1.0,-17.0
1.260004,-342.0,200.0,8234.0,8.0,14.0,-21.0
1.27,-323.0,138.0,8214.0,5.0,26.0,-21.0
1.280008,-324.0,272.0,8226.0,-4.0,48.0,-18.0
1.2900079999999998,-329.0,153.0,8284.0,9.0,52.0,-24.0
1.2999999999999998,-354.0,161.0,8341.0,-1.0,60.0,-19.0
1.31,-359.0,250.0,8380.0,4.0,41.0,-20.0
1.3200119999999997,-372.0,184.0,8422.0,1.0,34.0,-22.0
1.3300079999999999,-363.0,177.0,8394.0,-1.0,17.0,-22.0
1.340004,-360.0,219.0,8341.0,1.0,5.0,-23.0
1.349996,-343.0,163.0,8302.0,7.0,5.0,-25.0
1.360008,-356.0,172.0,8235.0,-1.0,9.0,-22.0
1.370008,-339.0,212.0,8212.0,5.0,24.0,-23.0
1.38,-330.0,169.0,8211.0,2.0,41.0,-21.0
1.3900039999999998,-340.0,202.0,8268.0,1.0,55.0,-21.0
1.4,-320.0,207.0,8323.0,1.0,55.0,-23.0
1.410008,-348.0,162.0,8360.0,-2.0,45.0,-25.0
1.4200079999999997,-330.0,197.0,8409.0,-4.0,30.0,-24.0
1.4299999999999997,-322.0,200.0,8397.0,12.0,23.0,-19.0
