Time,wm_ref,wm,PWM
0.0,0.0,0.0,0.0
0.05000399999999994,0.0,0.0,0.0
0.10000799999999987,0.0,0.0,0.0
0.15000799999999992,0.0,0.0,0.0
0.20001199999999986,0.0,0.0,0.0
0.2500159999999998,0.0,0.0,0.0
0.30001999999999995,0.0,0.0,0.0
0.3500239999999999,0.0,0.0,0.0
0.40002799999999983,0.0,0.0,0.0
0.45003199999999977,0.0,0.0,0.0
0.5000319999999998,0.0,0.0,0.0
0.5500359999999997,0.0,0.0,0.0
0.6000399999999997,0.0,0.0,0.0
0.6500440000000001,0.0,0.0,0.0
0.7000439999999999,0.0,0.0,0.0
0.7500439999999997,0.0,0.0,0.0
0.8000479999999996,0.0,0.0,0.0
0.8500479999999999,0.0,0.0,0.0
0.9000519999999999,0.0,0.0,0.0
0.9500559999999998,0.0,0.0,0.0
1.0000599999999997,202.3562774658203,0.0,129.0
1.05006,204.7117919921875,0.0,130.0
1.1000599999999998,207.06614685058594,0.0,132.0
1.1500639999999998,209.4189453125,10.471129417419434,133.0
1.200064,211.7692413330078,125.66360473632812,135.0
1.250068,214.11680603027344,167.53807067871094,136.0
1.3000679999999998,216.460693359375,198.96737670898438,138.0
1.350068,218.800537109375,198.96737670898438,139.0
1.4000679999999999,221.13572692871094,209.4393310546875,141.0
1.4500679999999997,223.4656982421875,209.4393310546875,142.0
1.5000719999999996,225.7900848388672,209.42257690429688,144.0
1.550076,228.10809326171875,209.42257690429688,145.0
1.60008,230.41917419433594,209.42257690429688,147.0
1.6500839999999999,232.72274780273438,209.42257690429688,148.0
1.7000839999999997,235.01805114746094,230.38328552246094,150.0
1.750084,237.3047332763672,219.91131591796875,151.0
1.800088,239.58238220214844,219.8937225341797,153.0
1.8500879999999997,241.85008239746094,230.38328552246094,154.0
1.9000919999999997,244.10763549804688,230.36485290527344,156.0
1.950092,246.3541259765625,230.38328552246094,157.0
2.000096,248.58935546875,230.36485290527344,158.0
2.0500999999999996,250.81259155273438,240.83596801757812,160.0
2.1000999999999994,253.0231170654297,240.85523986816406,161.0
2.150104,255.22073364257812,240.83596801757812,163.0
2.2001039999999996,257.404541015625,251.32720947265625,164.0
2.2501039999999994,259.57421875,251.32720947265625,165.0
2.300108,261.7293395996094,251.30709838867188,167.0
2.3501079999999996,263.8690490722656,251.32720947265625,168.0
2.400112,265.9931945800781,261.7782287597656,170.0
2.450112,268.10089111328125,251.32720947265625,171.0
2.5001159999999993,270.1919250488281,261.7782287597656,172.0
2.550116,272.2654724121094,251.32720947265625,174.0
2.6001200000000004,274.3213806152344,261.7782287597656,175.0
2.650124,276.3589172363281,261.7782287597656,176.0
2.7001280000000003,278.37762451171875,272.2493591308594,178.0
2.750132,280.3769836425781,272.2493591308594,179.0
2.800136,282.35650634765625,282.7204895019531,180.0
2.8501399999999997,284.3157043457031,282.7204895019531,181.0
2.9001400000000004,286.25396728515625,272.2711486816406,183.0
2.950144,288.17108154296875,293.1916198730469,184.0
3.0001480000000003,290.06640625,282.7204895019531,185.0
3.0501519999999998,291.9395751953125,282.7204895019531,186.0
3.100156,293.7900085449219,282.7204895019531,187.0
3.1501599999999996,295.6173095703125,293.1916198730469,189.0
3.2001600000000003,297.4208984375,293.215087890625,190.0
3.250164,299.2005310058594,293.1916198730469,191.0
3.3001639999999997,300.95556640625,293.215087890625,192.0
3.350168,302.68585205078125,303.6627502441406,193.0
3.4001719999999995,304.3907775878906,293.1916198730469,194.0
3.450176,306.0699462890625,303.6627502441406,195.0
3.5001759999999997,307.7228088378906,303.6870422363281,196.0
3.55018,309.3492431640625,303.6627502441406,197.0
3.60018,310.9485168457031,314.15899658203125,198.0
3.6501799999999998,312.52044677734375,314.15899658203125,199.0
3.700184,314.0647277832031,303.6627502441406,200.0
3.750184,315.58074951171875,303.6870422363281,201.0
3.8001880000000003,317.0683898925781,314.1338806152344,202.0
3.850192,318.527099609375,314.1338806152344,203.0
3.900196,319.95660400390625,314.1338806152344,204.0
3.950196,321.3563537597656,314.15899658203125,205.0
4.0001999999999995,322.7262878417969,324.6050109863281,206.0
4.0502,324.0658264160156,324.6309814453125,207.0
4.1002,325.374755859375,324.6309814453125,208.0
4.150204,326.6528625488281,335.0761413574219,208.0
4.200204,327.89959716796875,335.1029357910156,209.0
4.250208,329.1148681640625,324.6050109863281,210.0
4.300212,330.29827880859375,324.6050109863281,211.0
4.350212,331.449462890625,324.6309814453125,211.0
4.400212,332.5682373046875,324.6309814453125,212.0
4.450212,333.65423583984375,335.1029357910156,213.0
4.500212,334.7073059082031,335.1029357910156,214.0
4.550212,335.72711181640625,335.1029357910156,214.0
4.600216,336.7135314941406,335.0761413574219,215.0
4.6502159999999995,337.6661376953125,335.1029357910156,215.0
4.70022,338.5848083496094,345.5472717285156,216.0
4.75022,339.4692687988281,345.5749206542969,217.0
4.800224,340.3193359375,335.0761413574219,217.0
4.8502279999999995,341.13482666015625,345.5472717285156,218.0
4.900232,341.9154357910156,335.0761413574219,218.0
4.950236,342.66107177734375,356.0184020996094,219.0
5.00024,343.3714599609375,335.0761413574219,219.0
5.05024,344.04644775390625,345.5749206542969,220.0
5.100239999999999,344.68585205078125,356.046875,220.0
5.150244,345.28961181640625,345.5472717285156,220.0
5.200248,345.8575439453125,345.5472717285156,221.0
5.250248,346.38946533203125,345.5749206542969,221.0
5.300248,346.8852233886719,356.046875,221.0
5.350248,347.3447570800781,356.046875,222.0
5.4002479999999995,347.7679138183594,356.046875,222.0
5.450252,348.1546630859375,345.5472717285156,222.0
