Time,wm_ref,wm,PWM
0.0,0.0,0.0,0.0
0.05000399999999994,0.0,0.0,0.0
0.10000799999999987,0.0,0.0,0.0
0.15001599999999993,0.0,0.0,0.0
0.2000200000000001,0.0,0.0,0.0
0.250024,0.0,0.0,0.0
0.30002400000000007,0.0,0.0,0.0
0.350028,0.0,0.0,0.0
0.40003199999999994,0.0,0.0,0.0
0.450032,0.0,0.0,0.0
0.5000359999999999,0.0,0.0,0.0
0.5500399999999999,0.0,0.0,0.0
0.6000439999999998,0.0,0.0,0.0
0.6500479999999997,0.0,0.0,0.0
0.700048,0.0,0.0,0.0
0.7500479999999998,0.0,0.0,0.0
0.8000519999999998,0.0,0.0,0.0
0.8500560000000001,0.0,0.0,0.0
0.900056,0.0,0.0,0.0
0.9500599999999999,0.0,0.0,0.0
1.0000639999999998,202.3562774658203,0.0,255.0
1.0500679999999998,204.7119903564453,136.1246795654297,179.0
1.100068,207.06634521484375,272.2711486816406,57.0
1.1500679999999999,209.4189453125,188.4954071044922,181.0
1.2000719999999998,211.76942443847656,188.48033142089844,169.0
1.2500759999999997,214.1169891357422,251.30709838867188,102.0
1.300076,216.4608917236328,209.4393310546875,164.0
1.35008,218.8009033203125,209.42257690429688,160.0
1.4000799999999998,221.1361083984375,230.38328552246094,140.0
1.4500839999999997,223.46627807617188,230.36485290527344,147.0
1.500084,225.79046630859375,219.91131591796875,163.0
1.550088,228.1084747314453,230.36485290527344,153.0
1.6000919999999998,230.4195556640625,230.36485290527344,158.0
1.6500920000000001,232.72293090820312,240.85523986816406,150.0
1.700096,235.0184326171875,240.83596801757812,155.0
1.7500959999999999,237.3050994873047,230.38328552246094,171.0
1.8000959999999997,239.5825653076172,251.32720947265625,148.0
1.850096,241.8502655029297,240.85523986816406,168.0
1.9001,244.10781860351562,240.83596801757812,169.0
1.9501039999999998,246.3544921875,251.30709838867188,161.0
2.000108,248.5897216796875,251.30709838867188,166.0
2.0501119999999995,250.81295776367188,251.30709838867188,170.0
2.100112,253.02346801757812,251.32720947265625,173.0
2.150112,255.22091674804688,272.2711486816406,153.0
2.2001159999999995,257.4049072265625,251.30709838867188,183.0
2.25012,259.5747375488281,251.30709838867188,183.0
2.3001199999999997,261.72967529296875,272.2711486816406,163.0
2.350124,263.86956787109375,261.7782287597656,182.0
2.4001279999999996,265.99371337890625,261.7782287597656,183.0
2.450132,268.1015625,272.2493591308594,175.0
2.500132,270.1924133300781,272.2711486816406,180.0
2.5501359999999993,272.2661437988281,282.7204895019531,171.0
2.6001399999999997,274.322021484375,272.2493591308594,188.0
2.650144,276.35955810546875,272.2493591308594,189.0
2.7001479999999995,278.3782653808594,282.7204895019531,181.0
2.750152,280.37762451171875,293.1916198730469,174.0
2.8001519999999998,282.35699462890625,282.74310302734375,190.0
2.8501519999999996,284.3160400390625,282.74310302734375,191.0
2.900156,286.2544250488281,293.1916198730469,182.0
2.950156,288.17138671875,293.215087890625,187.0
3.0001559999999996,290.06658935546875,293.215087890625,190.0
3.0501559999999994,291.9395751953125,293.215087890625,193.0
3.10016,293.7900085449219,293.1916198730469,196.0
3.1501639999999993,295.6173095703125,303.6627502441406,187.0
3.2001679999999997,297.4210205078125,303.6627502441406,191.0
3.2501679999999995,299.2005310058594,303.6870422363281,194.0
3.300172,300.9557189941406,293.1916198730469,208.0
3.3501759999999994,302.68597412109375,314.1338806152344,185.0
3.4001799999999998,304.3908996582031,303.6627502441406,203.0
3.4501839999999993,306.070068359375,314.1338806152344,192.0
3.5001879999999996,307.72308349609375,303.6627502441406,208.0
3.5501879999999995,309.349365234375,314.15899658203125,197.0
3.600192,310.94879150390625,314.1338806152344,201.0
3.6501919999999997,312.52069091796875,314.15899658203125,204.0
3.700196,314.0649719238281,314.1338806152344,206.0
3.750196,315.58099365234375,324.6309814453125,196.0
3.8001959999999997,317.0684814453125,314.15899658203125,213.0
3.850199999999999,318.5272216796875,314.1338806152344,213.0
3.9002,319.95660400390625,324.6309814453125,203.0
3.9501999999999997,321.3563537597656,324.6309814453125,207.0
4.0001999999999995,322.7261962890625,324.6309814453125,209.0
4.050199999999999,324.06573486328125,324.6309814453125,211.0
4.100199999999999,325.3746643066406,335.1029357910156,201.0
4.1502,326.65264892578125,324.6309814453125,217.0
4.2002,327.8994140625,324.6309814453125,217.0
4.250203999999999,329.11468505859375,335.0761413574219,207.0
4.300208,330.2981262207031,335.0761413574219,211.0
4.350207999999999,331.44927978515625,335.1029357910156,212.0
4.400212,332.568115234375,335.0761413574219,214.0
4.450212,333.6541748046875,335.1029357910156,216.0
4.500216,334.7073059082031,335.0761413574219,217.0
4.5502199999999995,335.7272033691406,335.0761413574219,219.0
4.600224,336.713623046875,345.5472717285156,208.0
4.650227999999999,337.666259765625,335.0761413574219,224.0
4.700227999999999,338.58489990234375,345.5749206542969,211.0
4.750232,339.46942138671875,335.0761413574219,226.0
4.800231999999999,340.31939697265625,356.046875,202.0
4.850236,341.1348876953125,335.0761413574219,230.0
4.900236,341.91546630859375,345.5749206542969,216.0
4.95024,342.66107177734375,345.5472717285156,219.0
5.0002439999999995,343.3714599609375,335.0761413574219,232.0
5.050248,344.0464782714844,345.5472717285156,219.0
5.100248,344.6859130859375,356.046875,210.0
5.150251999999999,345.2896728515625,345.5472717285156,225.0
5.200252,345.8575744628906,356.046875,211.0
5.250252,346.38946533203125,335.1029357910156,238.0
5.3002519999999995,346.8852233886719,345.5749206542969,223.0
5.350256,347.34478759765625,366.4895324707031,202.0
5.400259999999999,347.7679748535156,335.0761413574219,242.0
